dB_64_128,dW_64_128,dB_128_256,dW_128_256,dB_256_512,dW_256_512,sample
0.02603505943147022,0.04110070877746491,0.007196756920587244,0.016658742526402592,0.0020379657584366218,0.005282898994481866,803
0.0332295228075723,0.08146499517867412,0.008093315149936053,0.011721125475884109,0.0019343880736206742,0.0048086586709723544,124
0.04623426994066193,0.0954268492602075,0.009527680726477694,0.02110297144571527,0.002999798198711101,0.005683230109062798,350
0.015832192286596714,0.02891195406416225,0.003806766259044192,0.0066256480438091625,0.0013112526446001915,0.0019240875703830929,682
0.032426437985004775,0.03602504367795273,0.0019964167934012345,0.003850781188679764,0.0009541529001905191,0.001525674835661961,1326
0.05118198120149886,0.06330533872986943,0.01571565527690577,0.029019094077986418,0.0003513671697450427,0.0007717997619544059,976
0.05213964705350049,0.11546789903549293,0.01236574940498647,0.029988135923493253,0.0035449567904448642,0.004881493208361398,1493
0.03657491879529101,0.06073021529263417,0.0069842266137052356,0.020762157460351482,0.0026181512093995662,0.0069815047334563785,706
0.009807499622943056,0.030708321891127405,0.006146329215713564,0.01432021512650361,0.0009663202032683671,0.0026211047435283907,613
0.032719068926829076,0.08702021737675503,0.013385342153724888,0.030588289648741496,0.0015732262885581605,0.0045165187648199545,1587
0.0873539016810776,0.12178876884151557,0.007444662492186893,0.018677902267163482,0.00490654632744425,0.008993319432279767,513
0.06561892812172698,0.07362861143808191,0.010640923898811522,0.014989540840573884,0.002233957752872495,0.0028197274650143545,1505
0.04155756575409886,0.07364749223969902,0.002940472937572658,0.005268249718892337,0.0015012002158049098,0.003988778246886537,1525
0.021828854510538953,0.046110719706883074,0.0033226256247091968,0.010822254625789007,0.0017193575448808396,0.004196924321424489,1568
0.01896041825498429,0.07143049308286398,0.011342015090539892,0.027375013452017705,0.0014409463830001856,0.0028671417173223857,220
0.08383105848495909,0.16944797738244843,0.014549588535200275,0.02606666926170187,0.0039108000597285475,0.010812036771508882,1010
0.02142258391870988,0.033876774121941,0.01368644377731254,0.016631473932555638,0.0013485955547910475,0.0017572448417716366,30
0.0243088165295392,0.03664915482737707,0.0018363963050176402,0.005492594581201549,0.0012634849950177718,0.003024250493366132,942
0.06405251595620531,0.11601473344998503,0.00614525373818009,0.014166157728726203,0.00557158753631537,0.009922800082474148,481
0.04096067873450959,0.12258206903705565,0.014470789527772476,0.037458833560128635,0.002276214535034571,0.005113913308173623,135
0.06326237594583284,0.13720634064372234,0.012288351195766989,0.015984884094428775,0.002429837598183271,0.005362453318840332,65
0.06965282054069188,0.2084022673163447,0.01241834786695617,0.02646042113537528,0.004134346506345032,0.009685055095715933,99
0.05115355341570338,0.08361712839349933,0.007319606021461533,0.017779795955170208,0.0036116371120091806,0.009194438151575945,1547
0.053683422163131045,0.17485552002454097,0.022623495343019773,0.07491466967114158,0.0047145171469484826,0.01266019949917796,1311
0.018719028481687272,0.03804901684818465,0.011931673504915752,0.02188767071562353,0.00182407008588914,0.0030941473769324768,29
0.026924781664563913,0.05877619351407748,0.006464910054686079,0.01536446336888253,0.003688108905569809,0.00627407140832692,745
0.039726058473641856,0.08986889115143981,0.020664437620105502,0.02945345754237083,0.002825162650559321,0.0046692911927777025,538
0.03249597538042237,0.0661562148274909,0.005515530586046563,0.01654909652273731,0.002188779421591569,0.004973162528265185,168
0.02030728210392363,0.041228029286215495,0.012518762391346083,0.025269897176284806,0.0036541785662151938,0.006605374742920445,274
0.05577431505847863,0.13429005312814302,0.015203192714858815,0.03687671348716304,0.0038396568912615336,0.006734515387180284,271
0.020196816376341464,0.04691360504368297,0.0038077171463417603,0.011584958485520325,0.0007616992379690379,0.0021568587989193033,1502
0.042423966243778866,0.1079693507023261,0.007523966121844916,0.016755207419892115,0.0011266080821537017,0.0035036483087419468,1355
0.039060243816133156,0.0938363998729862,0.004487319294498304,0.007247480288560704,0.0011178498781975188,0.0031769431521565528,1425
0.040556924922748205,0.09797045336596133,0.0074831505109773655,0.015686919041132424,0.0019479570743747843,0.004122178947755684,486
0.05058247724350293,0.08404024897808413,0.004944403441542011,0.008878567201231702,0.0019670224835477423,0.004925157988790341,251
0.011506310859253244,0.023515226460480432,0.010284033548892957,0.023899553534608042,0.0015877482168229484,0.004649895180228736,247
0.05103297214778196,0.1178140606044989,0.017524836845993708,0.035584200157111445,0.0032472582210234524,0.0063162419803070025,1209
0.03475166255664064,0.07183575765739914,0.009483100608210115,0.012338398951285079,0.003682967095842482,0.004647517065616835,1487
0.04135863636130549,0.07714828159342974,0.012087877819147885,0.032241338121711594,0.001812706500278427,0.005254518909231676,937
0.028293910889040763,0.07353801961204293,0.016996074864128685,0.029321394745139923,0.0045538534681333065,0.010009432536378426,914
0.05265829849993675,0.1361997414908338,0.0051508536831607055,0.015075731396760772,0.003932719208108448,0.006881379545141897,394
0.05067548367047925,0.10245629281013002,0.006229009569418631,0.016943480491597662,0.0024794496485411877,0.004875725650561824,23
0.048511970215237676,0.12488384498967858,0.012417287156827772,0.018259250951134565,0.0029069658103173524,0.0064315761531890114,589
0.037167607877324205,0.07779727746710946,0.003982212016475195,0.011025275049822703,0.0022087607302045953,0.003341416914336287,32
0.07488929305301717,0.15776942493091384,0.018766440733677392,0.03660170372962712,0.0020758603887829352,0.004877369255008146,483
0.05241550161715747,0.1449656153510155,0.005986012833049392,0.013553827285371078,0.0011350009516610804,0.0028665895488456106,69
0.07027580009971324,0.1385520347287972,0.014848541104710122,0.03740538354274203,0.0010799701255308491,0.0023728693814647484,506
0.07641064293739142,0.11832226042525362,0.016399363495800845,0.035391260822753345,0.00452412378292788,0.009692372261394855,596
0.035972590296668105,0.09208667744184776,0.003758334104465355,0.008975317012579337,0.0017782047010737045,0.004303219520461754,422
0.013201057327421495,0.021594715560658617,0.004957997026293723,0.006916746381789504,0.0010841507696550678,0.0028876273538626096,1212
0.1070725042237024,0.20944147769122612,0.0027739844276526426,0.006463632242163508,0.006850533375387435,0.01125005763109721,415
0.10706134111559251,0.18271859022593406,0.026110492756703074,0.03330538106383174,0.0034557023806485176,0.0045081983550909754,692
0.030607339844402004,0.045211213402337025,0.001368632742372089,0.0034102273026203056,0.0010311326563818835,0.0018226502457804883,1290
0.12440503674612668,0.2944351713117741,0.01348700106207934,0.037252541726710664,0.006082539616878879,0.012523812596170192,802
0.05830533189181608,0.10583240091677754,0.01396808796969784,0.023128305688719375,0.005380835557411423,0.00819482869826138,184
0.053933713363939706,0.13645875079852454,0.0164802173449905,0.043055991552574224,0.003234953356536785,0.008207274223102301,1054
0.019801394341655065,0.04285793504749458,0.012266641636996534,0.02536321067194136,0.0025200507123601668,0.004601247098574013,859
0.005966050215966855,0.005966050215966856,0.000976876411777683,0.000976876411777683,0.0002509161697974438,0.0002509161697974438,1388
0.009885416129281843,0.022797514057534496,0.001700907353692216,0.004794308569759376,0.0007491933318197752,0.0010918297746481676,1284
0.009403262271461266,0.019241495423079513,0.010416541658493816,0.015770567278368286,0.005343989926528625,0.011657083592572837,846
0.020793441067586516,0.049732697861286895,0.006960389476582729,0.014188225194083526,0.001648447049529267,0.0034021226634679547,722
0.028981043111921734,0.04266346193435422,0.003270194740578547,0.005821590756142858,0.0018720012177242396,0.003140035373676242,1035
0.01925913958788872,0.04861671100677434,0.011267996223049748,0.03153721040552249,0.0027195963839801163,0.006513556349483585,203
0.03943331351215229,0.06017196855762508,0.004785952239735769,0.011732995979372385,0.0025871987763406157,0.005846187516737156,59
0.08470194108285334,0.15531524568809152,0.01981994090625938,0.04774313375759487,0.004798395410658518,0.013503340058574897,817
0.09291304607217032,0.17346949498533348,0.010828024253948576,0.02304911049078595,0.005326045663989198,0.007222625609722089,610
0.051903326759457524,0.11372497836106055,0.014295123236858442,0.023013777380478828,0.002777766839047402,0.008050104553749993,1063
0.03739571588211493,0.09369336513041066,0.010431880512952407,0.030045345662909173,0.0049477642916522235,0.010259480836977974,298
0.034277880138541494,0.08589740719891381,0.009453890708841062,0.02761086642070898,0.002556080774026581,0.004393941222761932,1402
0.023281049174850965,0.04501269181693135,0.0054154650385416225,0.009642114582345096,0.0017843937608378324,0.004248026159413998,411
0.06902795721482491,0.20455117269524914,0.01650903668629189,0.04272594924975304,0.006513025638198222,0.01221003099277329,1026
0.03708751833830615,0.11033100375706961,0.009460231331035573,0.023692577913307034,0.002941849806447294,0.005807450360288402,261
0.025166041359092728,0.060231483512958595,0.007364474108689123,0.017530305191181705,0.002251654327930952,0.005927163971103266,383
0.04071936846796431,0.0739889895996868,0.015793791949923808,0.0224477960336375,0.0022823106064828735,0.00392291229127284,1102
0.08235541290572312,0.1759762006743717,0.018834208014891107,0.04511385006763424,0.004966893683557849,0.012332245367886852,1103
0.05481450298090529,0.13855547103321292,0.011511135947168238,0.023372887899047234,0.002728207596779497,0.0039950562282383695,529
0.1138031968648443,0.20827565185951524,0.02920028986088896,0.08696243916405288,0.003293263331931584,0.007356792193196959,1269
0.013882338020978047,0.0177580540113067,0.0036575438277188788,0.006523310399985771,0.0027004583223049217,0.003790046585350204,526
0.07678475670038631,0.18218687335487926,0.02107414012718767,0.06452876646485772,0.002851528040141549,0.006488110208707321,1151
0.07706949762681381,0.1596502660914597,0.01109138479524896,0.024256378357333963,0.002334056416692931,0.004700088166843974,1230
0.05434120711462498,0.08933379021564936,0.010126921008275058,0.020881021975609704,0.0019019494059950848,0.005232232445816276,781
0.03161821719408542,0.06268435905175307,0.015277401873030616,0.047884843415037404,0.0012020067802505086,0.0023081563559924634,1223
0.02235227977948151,0.03281142811625909,0.012316750377880936,0.018254403088366455,0.0014875433370709068,0.0025133390638424347,1465
0.0457218534558117,0.0688748133995698,0.006000785740777781,0.009493000937803586,0.0012380323131289117,0.001878106793923695,798
0.013410514345719493,0.01899160258957433,0.003704323426068301,0.0042317767196691225,0.0009551050223579605,0.0013661075281634072,270
0.04792491215209482,0.10651707744757255,0.012519507840742072,0.03805826303828219,0.003899185657742388,0.010261514710178776,887
0.01381037119059636,0.028260646218729146,0.008151252177326374,0.014813536737144917,0.0012263736373094858,0.0023823662295348047,590
0.06386122618604251,0.16636669987232455,0.010147241137714147,0.02670953919390917,0.001617950390924161,0.0036788566582137694,829
0.008387847353791833,0.021227626037510272,0.006359761970503142,0.014649525015696496,0.0011299938897542106,0.003341775278244641,838
0.04622694361116064,0.06124566159396422,0.01418585791919269,0.02710625363037633,0.0019101081430316635,0.004526833689722343,1461
0.022724700819038657,0.06656197940098985,0.007550405141033778,0.020382592178310954,0.002994001285147263,0.004564712568561058,420
0.12558362621778407,0.18553656167476196,0.0047498986359446604,0.007503795681505165,0.0021052363070808155,0.0038163102124499915,649
0.04903738942385982,0.10148770918152694,0.012502774469145272,0.02816488482787427,0.0034026715016701736,0.006913630838022766,1488
0.032565354135073,0.05565714232102548,0.016411393306737132,0.024022769057818527,0.0008684351452739048,0.0010854057004223705,560
0.062081439986610754,0.12227407960669473,0.006485544153054856,0.01663584327168849,0.0034288261878105963,0.00573603322065197,49
0.06791333469009908,0.13135763178761403,0.015521647821731932,0.019438538116472642,0.003114819839137528,0.008048519482794447,1113
0.030296782452316595,0.056434268846240754,0.005394269713862476,0.009993109390257493,0.0027065189646848786,0.0034628007092512014,1310
0.008419601851747616,0.024620827386306388,0.007568682755067058,0.013482603147238648,0.0013832137269910172,0.0039167774267443445,1532
0.02236704406728851,0.031991322436336844,0.0037693089368606714,0.004652269468481851,0.0007776428669673541,0.0015158190567378105,1334
0.021334963391957062,0.038331641756178064,0.007220271118495436,0.010429238079054493,0.0004432549005883857,0.0009690330132337,162
