n_pares_minmax,n_pares_tau_minmax,persistencia_total_minmax,vida_maxima_minmax,entropia_minmax,n_pares_zscore,n_pares_tau_zscore,persistencia_total_zscore,vida_maxima_zscore,entropia_zscore,n_pares_robust,n_pares_tau_robust,persistencia_total_robust,vida_maxima_robust,entropia_robust,sample
4,3,2.676138406770524,1.4549208293044056,0.9920592959956154,5,4,6.96092325954143,3.1993994931865952,1.1562978805994748,3,2,7.664665061748927,4.263985861725587,0.6867904204545889,803
6,4,2.7059143151655705,1.6143149914501946,0.9852206625809989,5,4,10.101432264636209,4.4288179380557455,1.1870619740073063,4,3,8.364207876948415,4.162316608462844,0.9812536620317547,124
4,3,3.6993992478269027,2.204676720613585,0.9265579972168027,5,4,14.697689139924218,6.917297134341669,1.1342523261262873,5,4,14.439023780626151,7.013924311054526,1.0957520642973813,350
4,3,2.860606027940478,1.7666410322679913,0.816120667552005,4,3,7.330173319803572,3.4487841067612433,0.9336154176002128,4,3,5.544895070975014,3.1717332765727884,0.8284230555985674,682
5,4,3.2504688278620035,1.6815560780310783,1.149614113652179,4,2,5.761038206471741,3.2875028878040955,0.7209048515591863,5,3,4.901782109850133,2.4839569247489606,0.8733887606142059,1326
5,4,3.1087070272544697,1.787929944770351,0.9852033731567437,5,3,9.755070089907985,5.161804197143559,0.9593609867041534,5,3,7.0960404099406915,3.609767567868806,0.879796062042664,976
4,3,2.483862085260437,1.4234693465510206,0.8252871025732826,4,3,15.95876581363405,6.315327459385385,1.0900901422470228,4,3,14.983389976187498,5.889412791995506,1.0826805753656106,1493
5,4,3.4661766264462184,1.6309593493751504,1.2405075870538602,5,4,9.762404460933078,4.167040805027897,1.3022756920443528,6,4,6.396098785393511,2.83914349881746,1.1969940223940725,706
5,2,2.7037985730467646,1.7935682900659415,0.8188625053311456,5,4,5.490460372053221,2.1846115683257388,1.2809099080534343,4,3,5.271866908786731,3.11344275003941,0.9196684594510554,613
5,4,4.240868544068478,2.0031711160320214,1.245845580929771,5,4,11.807358271637362,4.50053156703108,1.2528023166150575,5,4,10.34094533728246,4.069172930167042,1.2443864998466931,1587
6,3,4.286833486318731,1.8082542094109817,1.1125189107373568,5,4,13.375209870811442,6.599754434243033,1.093325532747864,5,3,11.216913317824043,4.948021132407156,1.0085466279572448,513
5,4,4.410834351677659,2.05309296798842,1.2458234517737645,4,3,10.242490096904115,4.568133182436123,1.0675789483034546,5,4,8.11993792127733,3.246100666562087,1.15638389218797,1505
5,4,2.775026145175647,1.544307674624862,1.1375477961165492,5,4,6.31514957914664,3.144491112580084,1.0521829687518727,4,2,4.555334441110092,2.578134778634185,0.7035660898754554,1525
