tipo_ruido,magnitud,dB,dW,norma_inf,n_pares,n_pares_tau,persistencia_total,vida_maxima,entropia,sample
gaussiano,0.01,0.032539816535846255,0.06164443043114576,0.0346206697817395,5,4,6.939572337518507,3.2168418459477355,1.1452044773253354,803
gaussiano,0.05,0.3021380092442243,0.7487697733980738,0.3029501991818271,5,3,6.729489146040091,2.9464067114274877,1.1279052513151266,803
gaussiano,0.1,0.27385209714936876,0.7976782612681613,0.34200799577461205,5,3,6.887440490762942,2.916099612313058,1.083712727760779,803
gaussiano,0.2,0.9099171475112784,1.929197104172448,1.1852280740783283,5,3,4.446875520632142,1.906261615415855,1.0624423364475983,803
gaussiano,0.5,2.0742374096452068,4.473836873151283,3.565960398450289,3,2,7.035150400515478,5.997475239858161,0.4183455873995868,803
acotado,0.01,0.020434442159540378,0.04941145420950355,0.026383355888303206,5,4,6.97187699193129,3.200110662986285,1.154402746696078,803
acotado,0.05,0.12975257047530264,0.3492710520870229,0.13863458856709565,5,4,7.157735276918065,3.2233519338681376,1.1585607427708502,803
acotado,0.1,0.21637457302647473,0.4594166036672778,0.3371510275909875,5,4,6.430287965027217,3.202188212544991,1.1153146926701942,803
acotado,0.2,0.38760944649253304,0.8809646884444696,0.9237447901001645,5,4,5.776554140231231,2.5018918661973,1.2138685118736594,803
acotado,0.5,0.7969885250278126,1.5112914972882974,1.1561283402228353,5,3,6.306254953213614,3.4242021630054644,0.950483709744144,803
gaussiano,0.01,0.0442759164583455,0.13678347939993282,0.06682852566633013,5,4,10.079573250951409,4.407737493879403,1.1872348556543626,124
gaussiano,0.05,0.30015393139870783,0.6134187584161337,0.3073344758319645,5,4,9.581844034440227,3.8997545120961785,1.2025933575750711,124
gaussiano,0.1,0.3894479880413273,0.978057509912539,0.6038691857563878,5,4,9.138776294314365,3.993594467183967,1.1839593038364031,124
gaussiano,0.2,0.9826553529754314,2.8791068379592364,1.5189128582153257,5,4,11.872450802406291,6.212010340030789,1.0649720799299385,124
gaussiano,0.5,2.1344723025025916,4.8604613829048935,3.58022653483299,4,3,11.035802007495757,6.384628301716825,0.8757926719608251,124
acotado,0.01,0.028288095334259467,0.0573024792842487,0.02860846430632802,5,4,10.025590793103614,4.4081131910295674,1.1870603439072935,124
acotado,0.05,0.09228909273605268,0.27101431645515467,0.11014099707817548,5,4,10.116472882161435,4.456184365861019,1.1738285703440088,124
acotado,0.1,0.23719234203715167,0.545675530994563,0.2459586639692587,5,4,9.703190945493043,4.295090132346239,1.1888436585334983,124
acotado,0.2,0.6937654525558044,1.5354905027010928,0.6975904018891397,5,4,11.146844518454085,5.388614559226607,1.1250144359970609,124
acotado,0.5,0.8336805311495836,2.0717593336491085,1.3269715966851052,5,4,11.719918372016025,4.773053474217837,1.252114221210719,124
gaussiano,0.01,0.030462568963673053,0.08526044109382713,0.03779604483565113,5,4,14.75645584249028,6.946141709220989,1.1289968541760782,350
gaussiano,0.05,0.10776513393433251,0.2300244777357312,0.11952920932035971,5,4,14.544389478355237,6.8406723326899534,1.1375127537739063,350
gaussiano,0.1,0.49942206115334264,1.2544557548154693,0.5265577390619067,5,4,13.977017308158207,6.541165229980839,1.1014701311202493,350
gaussiano,0.2,0.9505210854939898,2.772875878748321,1.0910987149419547,5,4,16.34983945224488,6.026303473449895,1.2152416706407583,350
gaussiano,0.5,2.796572447517904,5.488676397909419,3.3036353323438137,5,4,9.779177596957302,4.556648239675909,1.1751460712441237,350
acotado,0.01,0.02128056879495288,0.054015631576253664,0.036086457374276626,5,4,14.706479310316027,6.9216263325687795,1.1332895848498543,350
acotado,0.05,0.10148378646926126,0.2676716859317534,0.1324444289657576,5,4,14.770011916662753,6.945738975268458,1.1468428530111132,350
acotado,0.1,0.28143976701416484,0.49972023090476725,0.28413107154638606,5,4,15.18402089165237,7.371654651903331,1.1203466428276485,350
acotado,0.2,0.7210082031034282,1.3354713899679558,0.7528356370753277,5,4,14.198280294233875,7.033296117405892,1.1144321619387345,350
acotado,0.5,0.9020079126692082,2.1824046566527264,1.5660139769672583,5,4,15.429286437112339,7.854213037453439,1.1165666146208544,350
