tipo_ruido,magnitud,dB,dW,norma_inf,sample,cumple_teorema,razon_dB_norma_inf
gaussiano,0.01,0.0325398165358462,0.0616444304311457,0.0346206697817395,803,True,0.9398956386744767
gaussiano,0.05,0.3021380092442243,0.7487697733980738,0.3029501991818271,803,True,0.9973190645201876
gaussiano,0.1,0.2738520971493687,0.7976782612681613,0.342007995774612,803,True,0.8007184058054626
gaussiano,0.2,0.9099171475112784,1.929197104172448,1.1852280740783283,803,True,0.7677148115301432
gaussiano,0.5,2.0742374096452068,4.473836873151283,3.565960398450289,803,True,0.581677073740538
acotado,0.01,0.0204344421595403,0.0494114542095035,0.0263833558883032,803,True,0.7745202030420895
acotado,0.05,0.1297525704753026,0.3492710520870229,0.1386345885670956,803,True,0.9359321639455486
acotado,0.1,0.2163745730264747,0.4594166036672778,0.3371510275909875,803,True,0.6417734348090675
acotado,0.2,0.387609446492533,0.8809646884444696,0.9237447901001644,803,True,0.41960663881038324
acotado,0.5,0.7969885250278126,1.5112914972882974,1.1561283402228353,803,True,0.6893599069409534
gaussiano,0.01,0.0442759164583455,0.1367834793999328,0.0668285256663301,124,True,0.6625301997445205
gaussiano,0.05,0.3001539313987078,0.6134187584161337,0.3073344758319645,124,True,0.9766360594143604
gaussiano,0.1,0.3894479880413273,0.978057509912539,0.6038691857563878,124,True,0.6449211140878415
gaussiano,0.2,0.9826553529754314,2.8791068379592364,1.5189128582153255,124,True,0.6469464970689762
gaussiano,0.5,2.134472302502592,4.8604613829048935,3.58022653483299,124,True,0.596183588310889
acotado,0.01,0.0282880953342594,0.0573024792842487,0.028608464306328,124,True,0.9888016019092036
acotado,0.05,0.0922890927360526,0.2710143164551546,0.1101409970781754,124,True,0.8379177162391951
acotado,0.1,0.2371923420371516,0.545675530994563,0.2459586639692587,124,True,0.9643585560653283
acotado,0.2,0.6937654525558044,1.5354905027010928,0.6975904018891397,124,True,0.9945169123270948
acotado,0.5,0.8336805311495836,2.0717593336491085,1.3269715966851052,124,True,0.6282580073546358
gaussiano,0.01,0.030462568963673,0.0852604410938271,0.0377960448356511,350,True,0.8059723999199832
gaussiano,0.05,0.1077651339343325,0.2300244777357312,0.1195292093203597,350,True,0.9015799112792809
gaussiano,0.1,0.4994220611533426,1.2544557548154691,0.5265577390619067,350,True,0.948465902415739
gaussiano,0.2,0.9505210854939898,2.772875878748321,1.0910987149419549,350,True,0.8711595683114304
gaussiano,0.5,2.796572447517904,5.488676397909419,3.3036353323438137,350,True,0.8465136633388146
acotado,0.01,0.0212805687949528,0.0540156315762536,0.0360864573742766,350,True,0.589710665534106
acotado,0.05,0.1014837864692612,0.2676716859317534,0.1324444289657576,350,True,0.7662367323543597
acotado,0.1,0.2814397670141648,0.4997202309047672,0.284131071546386,350,True,0.9905279471281554
acotado,0.2,0.7210082031034282,1.3354713899679558,0.7528356370753277,350,True,0.957723263346638
acotado,0.5,0.9020079126692082,2.1824046566527264,1.5660139769672583,350,True,0.5759896948148804
gaussiano,0.01,0.0633912695807836,0.0938689249013894,0.0638260271204174,682,True,0.9931883972848009
gaussiano,0.05,0.1319934811740528,0.2683465006495831,0.2690732976419741,682,True,0.4905484205633881
gaussiano,0.1,0.4517213024070339,0.8772447030165498,0.4699936466656305,682,True,0.9611221462497851
gaussiano,0.2,0.907032626580294,2.0023612479896187,1.5811054344402158,682,True,0.5736699190471288
gaussiano,0.5,1.4407242784047551,3.1351538236080208,3.1628812618695625,682,True,0.4555100742394454
acotado,0.01,0.023836380341089,0.0411665707801365,0.0327858443373854,682,True,0.7270326820257789
acotado,0.05,0.1213107629809048,0.2752810642307993,0.1486341445060787,682,True,0.8161702237667439
acotado,0.1,0.2013564911920777,0.3651297769583629,0.2606718697395196,682,True,0.772451938881193
acotado,0.2,0.218189702916979,0.4870266926006176,0.6518118317008051,682,True,0.33474339112201407
acotado,0.5,0.7272259301762809,1.2557597328813035,1.3548460078619875,682,True,0.5367591046925536
gaussiano,0.01,0.0581921515019092,0.1272056315954932,0.0616861439053398,1326,True,0.9433585537654567
gaussiano,0.05,0.1360883251575637,0.3547024648907087,0.1806977038090602,1326,True,0.7531270308856034
gaussiano,0.1,0.2864469279140361,0.6234547692174637,0.3457341432882425,1326,True,0.8285179045079792
gaussiano,0.2,1.1640537338106234,1.7549488248345078,1.2361569886623558,1326,True,0.9416714418046892
gaussiano,0.5,1.2309353130790872,1.8747925175506432,2.529723544691291,1326,True,0.48658886685948194
acotado,0.01,0.0120435643950147,0.0323826482922213,0.024999860067391,1326,True,0.48174527227550085
acotado,0.05,0.0920371494747511,0.1959315287115915,0.1090865847688619,1326,True,0.843707314421512
acotado,0.1,0.1319110355518384,0.2877407617962249,0.3042341746601047,1326,True,0.4335838855027102
acotado,0.2,0.4175935907329816,0.8399887188294183,0.6002334276831011,1326,True,0.6957186512335566
acotado,0.5,0.5664780927283872,1.2071771557963913,1.8035172068466576,1326,True,0.31409630613884765
gaussiano,0.01,0.0270049371831979,0.0547777290120204,0.0290526308138514,976,True,0.9295177898423842
gaussiano,0.05,0.2123498328184083,0.4022685959169182,0.2376342527181839,976,True,0.8935994301723793
gaussiano,0.1,0.1403053560621048,0.3895524299478325,0.399703515241808,976,True,0.35102357300316583
gaussiano,0.2,0.9933958599507512,2.1634196997001545,1.129475141447381,976,True,0.8795198968945442
gaussiano,0.5,0.9680531425504296,2.808072245631759,2.4263035660020758,976,True,0.3989826978433421
acotado,0.01,0.0174816258221626,0.0408115839226685,0.0342812831072025,976,True,0.5099466600329703
acotado,0.05,0.111104859568845,0.2181790356525763,0.156833955228389,976,True,0.708423500555405
acotado,0.1,0.213758454021838,0.4920534045744095,0.2859396734063173,976,True,0.7475648673560924
acotado,0.2,0.5431398646692713,1.4290508349279871,0.548253354751225,976,True,0.9906731257772713
acotado,0.5,0.7798372167415404,1.8176193851139784,1.2126152231878962,976,True,0.6431036010676107
gaussiano,0.01,0.0369172586604351,0.0768162057818715,0.0413118220844768,1493,True,0.893624555821928
gaussiano,0.05,0.1299976718703335,0.3641681938005845,0.2720516037158352,1493,True,0.47784196121159195
gaussiano,0.1,0.3648557362472506,0.7629574166885782,0.4461697563995093,1493,True,0.8177509367545556
gaussiano,0.2,0.590913897827138,1.2980945821133187,1.0193998510027806,1493,True,0.5796684169081031
gaussiano,0.5,1.4231116705431042,2.936534525409793,2.498516059117043,1493,True,0.5695827590742086
acotado,0.01,0.0164436694553171,0.0397117184588218,0.0383948170470981,1493,True,0.42827836463307023
acotado,0.05,0.1186449426036366,0.291480141689481,0.1416516953616389,1493,True,0.837582228018763
acotado,0.1,0.1941784516514171,0.3342953506707222,0.3062608961371878,1493,True,0.6340295287467452
acotado,0.2,0.5392060727480483,1.2307978170513243,0.6461600105723972,1493,True,0.8344776277170041
acotado,0.5,0.7957532425777856,2.223414590998013,2.0413680451821885,1493,True,0.38981370579197344
gaussiano,0.01,0.0442622303777167,0.1311489394710213,0.049468922750341,706,True,0.8947482159880181
gaussiano,0.05,0.3139417318899271,0.6996531044416154,0.3175665240976122,706,True,0.9885857232024526
gaussiano,0.1,0.5163921166819376,1.2316458384623026,0.5647326301106741,706,True,0.9144010619339228
gaussiano,0.2,0.7215215660473178,2.031090024705644,0.9719130582234524,706,True,0.7423725403650588
gaussiano,0.5,2.327537686599123,6.32123039714237,2.540685187751816,706,True,0.9161062920426982
acotado,0.01,0.0146392301533304,0.0457055410665263,0.0298829554704542,706,True,0.48988561950655996
acotado,0.05,0.1618076250798945,0.3629099477292352,0.1639263934095261,706,True,0.9870748798557506
acotado,0.1,0.3002698064792655,0.6151265705480174,0.4883648091139605,706,True,0.6148473454179562
acotado,0.2,0.4373733835036535,1.2969148877444456,0.6575635748427134,706,True,0.6651423531302985
acotado,0.5,0.9358426473596264,3.1735763057641813,1.781129228505955,706,True,0.5254209702373078
gaussiano,0.01,0.0358985130230686,0.1061642292693753,0.0377982276674697,613,True,0.949740642309638
gaussiano,0.05,0.1648336960538534,0.2905518290704721,0.1969766514437831,613,True,0.8368184495252055
gaussiano,0.1,0.8288791058971594,1.0430379777315268,0.5112316158282173,613,False,1.621337726842929
gaussiano,0.2,1.0165379136655353,1.9907691537658088,1.243916157506192,613,True,0.8172077414795338
gaussiano,0.5,0.6473524327663207,1.613637961532218,3.266780326462424,613,True,0.19816221725179012
acotado,0.01,0.018636223619221,0.0348180522151184,0.019078147402027,613,True,0.9768361270361584
acotado,0.05,0.149304578820878,0.3889347159427456,0.1929311730298781,613,True,0.7738748304700147
acotado,0.1,0.2307103695579353,0.7445249579545021,0.2604994103375337,613,True,0.885646417621444
acotado,0.2,0.2468376248308668,0.6794246522196541,0.7482007769129938,613,True,0.32990827121203437
acotado,0.5,0.6327572568113595,2.090799045957332,0.6966738508465794,613,True,0.9082546388707569
gaussiano,0.01,0.0453513201883247,0.1372455557831501,0.0598381441239808,1587,True,0.7578998455292942
gaussiano,0.05,0.1517751492851315,0.4252118699259495,0.2585396085464927,1587,True,0.5870479580997665
gaussiano,0.1,0.248989662394205,0.8063553978036725,0.3781426182570037,1587,True,0.658454377721
gaussiano,0.2,0.7419774841298019,2.2834017251875665,0.9001845539437028,1587,True,0.8242504060741803
gaussiano,0.5,1.0223911478297252,3.302403995706601,3.226686116941927,1587,True,0.31685485069700253
acotado,0.01,0.019134505676877,0.055963286833061,0.0353954739990558,1587,True,0.540591875599333
acotado,0.05,0.1381766372800434,0.3172448255630317,0.1495251892408986,1587,True,0.9241027413610448
acotado,0.1,0.2360089543018779,0.6637758888524864,0.2951683890538823,1587,True,0.799573948478592
acotado,0.2,0.3915495288503505,1.1982949434113936,0.520681481894331,1587,True,0.7519943429250149
