configuracion,tipo_ruido,magnitud,estadistica,media,std,cv
acotado_0.01,acotado,0.01,n_pares,4.89,0.7232781713361139,0.14790964649000285
acotado_0.01,acotado,0.01,persistencia_total,11.489009558220364,5.0454391565394054,0.43915353459945583
acotado_0.01,acotado,0.01,vida_maxima,5.1023100852982335,2.1211573680825397,0.415724903547989
acotado_0.01,acotado,0.01,entropia,1.1315123004646945,0.23389661641510553,0.2067115101789418
acotado_0.05,acotado,0.05,n_pares,4.88,0.670895677509559,0.13747862244048342
acotado_0.05,acotado,0.05,persistencia_total,11.549400393378212,5.021047255097437,0.434745275432327
acotado_0.05,acotado,0.05,vida_maxima,5.127740946721572,2.1115187442990964,0.4117834278756025
acotado_0.05,acotado,0.05,entropia,1.1322538535317948,0.24190295990778768,0.21364728338369468
acotado_0.1,acotado,0.1,n_pares,4.91,0.6830561152391921,0.13911529841938738
acotado_0.1,acotado,0.1,persistencia_total,11.5178096147387,5.007766043484548,0.43478458239806184
acotado_0.1,acotado,0.1,vida_maxima,5.136636477447444,2.1352190936926165,0.41568429128036605
acotado_0.1,acotado,0.1,entropia,1.1324908983433404,0.22714827838002846,0.2005740432106884
acotado_0.2,acotado,0.2,n_pares,4.88,0.7003606574508955,0.1435165281661671
acotado_0.2,acotado,0.2,persistencia_total,11.731993420222784,5.035460340316319,0.42920756600805343
acotado_0.2,acotado,0.2,vida_maxima,5.1530559202899076,2.1419329830941107,0.4156626701178137
acotado_0.2,acotado,0.2,entropia,1.1441692719532908,0.2237802575074242,0.1955831737426346
acotado_0.5,acotado,0.5,n_pares,4.86,0.6966006928309253,0.14333347589113687
acotado_0.5,acotado,0.5,persistencia_total,11.874777334153624,5.163151878845813,0.4347998900152697
acotado_0.5,acotado,0.5,vida_maxima,5.30868031552414,2.24010819240229,0.42197082123245505
acotado_0.5,acotado,0.5,entropia,1.1189021362087337,0.22222677686167708,0.1986114510556446
gaussiano_0.01,gaussiano,0.01,n_pares,4.89,0.6947857747012907,0.1420829805115114
gaussiano_0.01,gaussiano,0.01,persistencia_total,11.49967501259524,5.0479409067769225,0.4389637882155859
gaussiano_0.01,gaussiano,0.01,vida_maxima,5.107305903195684,2.1251526545839723,0.4161005224406564
gaussiano_0.01,gaussiano,0.01,entropia,1.1321031623916196,0.2341093349127659,0.20679152102905468
gaussiano_0.05,gaussiano,0.05,n_pares,4.86,0.7109532653097146,0.14628668010487952
gaussiano_0.05,gaussiano,0.05,persistencia_total,11.500582337464829,5.037254448290482,0.43799994647930907
gaussiano_0.05,gaussiano,0.05,vida_maxima,5.087174019216257,2.135706753547048,0.4198218392922365
gaussiano_0.05,gaussiano,0.05,entropia,1.1331749369302953,0.23504253420001928,0.20741946061455946
gaussiano_0.1,gaussiano,0.1,n_pares,4.88,0.7558525857024844,0.1548878249390337
gaussiano_0.1,gaussiano,0.1,persistencia_total,11.534919931762117,5.130607349841277,0.4447891602362867
gaussiano_0.1,gaussiano,0.1,vida_maxima,5.131583625803809,2.1772293439290706,0.4242802032848155
gaussiano_0.1,gaussiano,0.1,entropia,1.1262959938331343,0.22848901893937093,0.20286764775017266
gaussiano_0.2,gaussiano,0.2,n_pares,4.78,0.746439359339871,0.1561588617865839
gaussiano_0.2,gaussiano,0.2,persistencia_total,11.71115563129978,5.024897472686704,0.42906931056888437
gaussiano_0.2,gaussiano,0.2,vida_maxima,5.2276514621404635,2.1341947675435846,0.40825115886163876
gaussiano_0.2,gaussiano,0.2,entropia,1.1143277536041543,0.237514186742852,0.21314571585841055
gaussiano_0.5,gaussiano,0.5,n_pares,4.85,0.7299508769967216,0.15050533546324157
gaussiano_0.5,gaussiano,0.5,persistencia_total,13.294203180940633,5.656430299999938,0.42548095760333615
gaussiano_0.5,gaussiano,0.5,vida_maxima,5.918352812836137,2.2558546865280884,0.38116258997527713
gaussiano_0.5,gaussiano,0.5,entropia,1.1059181320749576,0.23038152660533615,0.20831698108890506
