dB_minmax_zscore,dW_minmax_zscore,dB_minmax_robust,dW_minmax_robust,dB_zscore_robust,dW_zscore_robust,sample
1.5996997465932976,5.728369626875332,2.094951526728554,5.818975294064904,0.8769647675604593,2.705424763452691,803
2.8803251618953505,6.009377790825386,1.9559740723707937,4.280276824904139,0.9325244969817477,3.039551071709621,124
3.3245702409350875,9.100746144616128,3.856205162478213,9.066722971560788,0.9584144798262526,2.8451913235345905,350
1.8379349702500303,3.5957653963170007,1.2571273080306744,2.200947060644195,0.7181163871598581,1.8510460663865729,682
1.6437514439020475,4.327377183632032,1.096678171051745,3.0967461563744547,0.7517092445359268,1.6893452905228254,1326
2.7392644591717765,6.672768095681316,1.800547221734702,4.121088928270613,1.022163206981324,3.2115019269233107,976
3.4293058364887017,7.707279752136671,2.9415496654551285,7.072191700371125,0.8177818605807392,2.440430407207919,1493
2.4489335683879734,8.39614043807066,1.8532043577781208,5.585657287445694,1.1814033419584042,4.3356234086623004,706
1.777058869540657,4.3511456913865,1.621065528959306,3.1321274997578787,0.626409707584062,2.3725182663122135,613
2.25026578351554,9.107409777393492,1.885166463096517,6.8091446182235424,1.133844992845313,3.4168681644727057,1587
2.6328667411433484,5.277505582842474,1.860826133988835,5.180238065723398,1.156627758614976,2.608820418125072,513
3.589880071536359,9.663083251398808,1.9551446294531698,6.815215698338453,1.6347354420831888,3.81556495975667,1505
1.7555213683770425,5.537125230729774,1.1390536040497516,3.0978553208843866,1.077926836181323,3.1739468208841215,1525
2.328023453885965,7.4477888651188895,1.1317776519724632,3.536776215692457,1.3263135020292052,4.76254764543912,1568
1.4111719450922267,3.9647528048994065,0.634503384555563,1.7155456615823086,0.7766685605366637,2.9497142706713797,220
3.504422357782903,8.710230359140844,2.247000047224037,5.437144342648581,1.2574223105588658,3.792029720423526,1010
2.0985340888645414,4.590323125607119,1.036904634919162,2.8668912677097316,1.1585049136361447,2.660010509959952,30
0.5657814093603029,1.8682104012424259,0.6003685896275346,1.8622710706846746,0.5657814093603029,2.1790819241537043,942
2.681026542804098,7.589776402891673,2.5377817917319394,5.636198032632275,1.617423404908815,4.05621258310776,481
2.455441816156635,5.844051086363519,1.9646079102957028,4.7538667497530644,0.940523509685032,3.05524056581761,135
3.900021727730553,8.339932463450767,4.45133270130718,9.354379567890769,1.7021328893609362,5.667529450427791,65
1.7290776741948286,6.894079175945466,0.9432611006896088,3.3699910153405437,1.1483426831470047,4.353153436923556,99
4.0744460339752475,9.18456282534795,3.4267471593690004,6.22876519151447,1.103162815423985,4.77348905446531,1547
3.3534477047865145,10.588640675747254,3.220047058602134,8.337433199156994,1.4852400517831774,4.411218037077895,1311
2.566324059184568,6.95443556823097,1.2622948417651405,3.6797645880541348,1.7469242104115872,3.9863432420328158,29
2.3399734860261736,8.433696742451843,1.574956206677907,5.74196627090107,1.4881240454516549,3.7672960488711262,745
2.598492081142009,7.44086492136873,4.4204572987412725,7.434123559891676,2.7896935165012637,7.754716436637413,538
1.9079406432328914,6.045743822186543,1.5358189923535979,4.600790796622532,0.8711934118255256,2.6456444598006104,168
4.229693374986519,7.988576912445715,7.069307202901161,11.046638173154465,3.2683197341701886,8.86933461800839,274
2.687964101651537,9.43673054055806,3.765586729055449,10.112272091533503,2.3790071232116237,6.102582966550352,271
1.0771923107259527,4.099609113230906,0.8057656044764225,2.113969323405004,1.0771923107259527,2.883248641539563,1502
1.835389701843857,5.857493762732781,1.2344576943340742,4.28187220791219,0.8509433389327428,2.9125197124076516,1355
2.2703918021902947,4.722276556485831,1.6453280158037238,3.121579587595973,1.2440829839234278,3.707284233989146,1425
2.157459914884,7.1860681057235345,1.8321850593521178,4.545499942148618,0.9328926097005006,3.0986399970438434,486
2.574643745925397,6.00722631383844,1.3822627366249178,4.168675936866062,1.5633974040557437,3.046422028388301,251
2.4478585778155786,6.268057965413868,1.6567455916913674,4.507220672320242,1.2225889162740926,3.52737191969497,247
2.484309271090625,6.6906171966867785,2.224951574078677,6.513607869413292,0.8179108667841826,2.604363677504661,1209
2.547818324655866,9.347530590230809,1.6992248726238337,7.334922733540148,1.6499810547544747,3.437078810707006,1487
2.967407346495879,7.172744633292684,2.246778095538259,5.446053305923193,1.0180640831232206,2.552586339511591,937
3.18558885906557,6.565982665389922,2.3566711513440897,5.554726718943732,1.316695233637999,3.168678106905197,914
3.2783594699081107,9.552410337392164,2.5029142274104306,7.038214800591515,1.5812979873376727,4.127790193919021,394
1.7182202876825623,6.17912517560078,1.194989984077436,3.7832958315168,0.9932631268346757,3.1761297773229114,23
3.665428808437124,6.763768526758006,2.2276774382374667,5.195625897517703,1.4377513701996572,3.430405612789653,589
2.613584649940444,5.918651718602,1.8746760761428045,4.792080122521882,0.8981298779386782,2.4401991028034726,32
3.6127659934543415,11.596789092886693,4.347811668910213,13.522200374415178,1.6175414194165523,6.114289566821061,483
2.4340782809590156,7.065930358030655,2.0394396904065566,6.966767531598844,1.1304124583928967,3.6232311784382403,69
4.21132263781435,7.749423040274805,3.4743460225434575,7.404451887542911,0.8995888757628858,3.1009486204877676,506
3.4359490750897486,9.361352695806682,2.6147502811424426,6.8721253137880485,1.5087005132318998,3.87396904866378,596
2.272303538539661,5.979022045166445,2.2989067212780165,5.285339606776416,0.7847627695373887,2.7107861944034624,422
2.0256363656447878,5.960866496111729,1.1889902532193748,3.9375979508283727,1.227178191761832,2.724273927712722,1212
6.897653507178905,12.596227957428983,9.014806966263535,16.490658958583886,2.9520456426436246,9.184170038027709,415
6.96905340609743,20.591615642673982,16.84083564439033,47.99764816701388,15.296626333998901,28.524191758989165,692
2.429172912719066,7.471825286322335,1.9620433857483994,6.1780662402493185,0.8159889146480521,2.8400129623545345,1290
4.9387369814079385,15.684942543214223,4.596288492292974,14.162177724234201,1.4931032416749441,6.413537371472996,802
2.179879902915939,8.590825984490015,1.3474902411711938,5.605218373998411,1.175306452743858,3.396765895863286,184
2.4687801217772503,7.941987183861206,1.9847948134453621,4.86562607554497,1.4158905845948788,4.078917277408263,1054
2.0813094024307572,6.938191496089538,1.8199345112753686,5.411920142100987,0.6824019825946235,2.7804064352454145,859
2.085534889585375,3.3899320823261303,5.123481233595651,9.235774274722383,3.037946344010277,5.845842192396253,1388
2.1836852947666765,4.485900494705201,1.3339245661999084,3.1433821196810676,0.8497607285667677,1.7856226857763242,1284
2.557073298462022,9.406302351118827,1.6120983813215535,7.163858328709892,1.1623817672337262,3.9763372552680574,846
1.1283838768384054,3.185037423341933,0.5561892256819356,1.8000504920461546,0.7028999356128032,2.3715599136922676,722
2.2103065598257814,4.113675906550714,0.8828702769822336,2.2819031963431544,1.5743602910505232,3.640951798841118,1035
1.6475343469694623,6.6621665592380035,1.0573738512685575,3.5867933062708284,1.0098865372674224,3.673962877591834,203
1.3424613381264114,6.034069352582779,0.8511652149880524,3.083502645475311,1.001773310196326,4.024768340359042,59
2.216613256910243,5.7564643275170315,1.7881938806524258,5.16088351224374,0.8121115890024138,2.9084514984688354,817
1.7469272506172824,5.323202809839208,1.221315213152217,3.902041581029263,1.4550363184259245,4.037167707659113,610
2.3881097144021517,4.491924596951436,1.246182636418245,3.765961077235533,1.3185821770107706,2.8205905210742546,1063
4.15109944742586,12.954519236777289,2.749347591346205,10.693332666372628,1.500960300169071,4.910777556612756,298
3.0481216598007235,6.795163981843547,2.4561011367510384,5.274559737041848,1.0598368611954,3.6794203410525945,1402
1.8400829643004957,4.734414098617918,1.4810149601507665,3.6694011213567,0.9173163160610369,2.269067747179504,411
3.993489662491193,8.45792337535914,2.590686119799348,5.804130959391564,1.4028035426918444,3.9328678451339965,1026
3.4010811270774832,7.454665459324635,2.0190824630292097,4.17138249927418,1.5064186750223567,4.378281985611265,261
1.9942218399733447,4.5324270756237865,0.9606377333943521,3.338823830702687,1.1278469437598933,3.5199766661511185,383
2.3861954976127633,7.062842674464785,1.6950716268101367,5.187012527582008,0.9180614923360855,2.393358095114908,1102
2.288990021891082,7.04912241444112,1.8618469734266947,5.216623071502493,0.892220350971308,2.9333605082423495,1103
2.2029090954965183,7.163905202837663,1.4378248258727382,4.6001638277398085,1.1717030336312417,3.956071936175515,529
6.346312662689936,17.94316868853439,4.606940146071953,13.768152622116627,2.137264631291389,5.744487193970506,1269
2.663937915570333,5.9676048359847895,1.8889671356426128,4.782261272319878,0.8153146844529648,3.0189895196076244,526
2.973192817617038,9.84099569448176,3.0676317428925097,8.516991762999284,1.0563947274580743,2.7162482838541697,1151
1.9333504163456698,6.241018307044397,1.1159636219861397,4.60864089637736,1.5907694976865656,3.6786060321870346,1230
3.975918333281877,11.92021628100141,3.569110793335784,9.320440939787291,1.2537303044745163,3.8376415251570473,781
2.201115621326056,5.377021053102616,1.6460735662255956,4.5042691120078935,1.2568381013389276,3.390763180695947,1223
2.0870872390997297,5.616189620727012,1.2034675189944193,4.1149893178649135,1.57699011125924,2.462493049879172,1465
1.7913569640660967,4.454038126180873,1.7783234890420978,4.163925748166408,1.0810700045198396,2.8092029251189676,798
1.0200588013409022,2.6494506395875246,1.6200405104643858,3.622911824740675,1.292549293517124,2.388627412160461,270
1.4511963506181753,5.368152972209597,1.268576868283649,4.30331020433902,0.6477737731390802,2.506453992200491,887
1.5115648430104383,3.6688228581426254,1.1479530222353196,3.2322374291267812,0.8906273087557295,2.228791775689053,590
2.612860171677818,11.00549551595925,2.0332417667557365,8.950251266632359,1.2292006030813,3.805841329035341,829
2.8406629100983825,5.35341140773539,2.3775339704801794,4.63702512779273,0.7142477854028808,2.1826999767950905,838
3.5943960622593307,10.211749674407598,2.2348643365420484,6.4367743457691295,2.256583956866886,6.039342243225503,1461
2.351870340717106,5.388934435040992,1.6211681385922496,3.795178693478827,0.9654321467797728,3.086469385215246,420
