configuracion,estadistica,media,std,cv
minmax,n_pares,5.03,0.744745906095807,0.148060816321234
minmax,persistencia_total,3.660912783366283,0.9636202537334347,0.26321857710233854
minmax,vida_maxima,1.8070566122211855,0.29499305612133847,0.16324505503938858
minmax,entropia,1.1163391142223607,0.17742305098921637,0.15893293420324958
zscore,n_pares,4.89,0.7232781713361139,0.14790964649000285
zscore,persistencia_total,11.49563224082566,5.040827434029008,0.4384993646653884
zscore,vida_maxima,5.104099363076731,2.121245486462555,0.415596432508296
zscore,entropia,1.131585925561354,0.2348251839136469,0.20751865024934404
robust,n_pares,4.65,0.7703468981143129,0.16566599959447587
robust,persistencia_total,10.130542386475906,7.175656605360861,0.7083190940437932
robust,vida_maxima,4.9033040019334555,4.02793451369196,0.8214735435746341
robust,entropia,1.0475221933213499,0.2871272381858055,0.27410134125695135
